"b1-nummer","achternaam","voorletters","voorna(a)m(en)","roepnaam","prepositie","geslacht","partij(en)/fractie(s)","functie","bijzondere functie(s)","post(en) in kabinet(ten)","naam kabinet(ten)","begin periode","einde periode","url"
"02415","Schippers","E.I.","Edith Ingeborg","Edith","","v","VVD","minister","","Volksgezondheid, Welzijn en Sport","eerste kabinet-Rutte","2010-10-14","2012-11-04","http://www.parlementairdocumentatiecentrum.nl/id/vge7dtpnx6zy"
"02415","Schippers","E.I.","Edith Ingeborg","Edith","","v","VVD","minister","","Volksgezondheid, Welzijn en Sport","tweede kabinet-Rutte","2012-11-05","","http://www.parlementairdocumentatiecentrum.nl/id/vge7dtpnx6zy"
"02416","Dezentjé Hamming","I.","Ineke","Ineke","","v","VVD","2e kamerlid","","","","2003-06-03","2006-11-29","http://www.parlementairdocumentatiecentrum.nl/id/vge7dtpnwrzw"
"02416","Dezentjé Hamming","I.","Ineke","Ineke","","v","VVD","2e kamerlid","","","","2006-11-30","2010-06-16","http://www.parlementairdocumentatiecentrum.nl/id/vge7dtpnwrzw"
"02416","Dezentjé Hamming","I.","Ineke","Ineke","","v","VVD","2e kamerlid","","","","2010-06-17","2011-11-08","http://www.parlementairdocumentatiecentrum.nl/id/vge7dtpnwrzw"
"02417","Szabó","F.Z.","Ferenc Zsolt","Zsolt","","m","VVD","2e kamerlid","","","","2003-06-03","2006-11-29","http://www.parlementairdocumentatiecentrum.nl/id/vggi1fnet1u0"
"02418","Egerschot","E.","Esther","Eske","van","v","VVD","2e kamerlid","","","","2004-04-06","2006-11-29","http://www.parlementairdocumentatiecentrum.nl/id/vgp21at3rfc5"
"02422","Irrgang","E.","Ewout","Ewout","","m","SP","2e kamerlid","","","","2005-10-06","2006-11-29","http://www.parlementairdocumentatiecentrum.nl/id/vge7dtpleyza"
"02422","Irrgang","E.","Ewout","Ewout","","m","SP","2e kamerlid","","","","2006-11-30","2010-06-16","http://www.parlementairdocumentatiecentrum.nl/id/vge7dtpleyza"
"02422","Irrgang","E.","Ewout","Ewout","","m","SP","2e kamerlid","","","","2010-06-17","2012-09-19","http://www.parlementairdocumentatiecentrum.nl/id/vge7dtpleyza"
"02440","Brinkel","Th.B.F.M.","Theodorus Bernardus Franciscus Maria","Theo","","m","CDA","2e kamerlid","","","","2003-06-03","2006-11-29","http://www.parlementairdocumentatiecentrum.nl/id/vge7dtpjh1yt"
"02441","Omtzigt","P.H.","Pieter Herman","Pieter","","m","CDA","2e kamerlid","","","","2003-06-03","2006-11-29","http://www.parlementairdocumentatiecentrum.nl/id/vge7dtpjguys"
"02441","Omtzigt","P.H.","Pieter Herman","Pieter","","m","CDA","2e kamerlid","","","","2006-11-30","2010-06-16","http://www.parlementairdocumentatiecentrum.nl/id/vge7dtpjguys"
"02441","Omtzigt","P.H.","Pieter Herman","Pieter","","m","CDA","2e kamerlid","","","","2010-10-26","2012-09-19","http://www.parlementairdocumentatiecentrum.nl/id/vge7dtpjguys"
"02441","Omtzigt","P.H.","Pieter Herman","Pieter","","m","CDA","2e kamerlid","","","","2012-09-20","","http://www.parlementairdocumentatiecentrum.nl/id/vge7dtpjguys"
"02442","Hijum","Y.J.","Yde Johan","Eddy","van","m","CDA","2e kamerlid","","","","2003-09-02","2006-11-29","http://www.parlementairdocumentatiecentrum.nl/id/vge7dtpjglyr"
