Source	Target	date_in	date_out	rubriek
16019	15423	2003-05-27	2006-07-06	-9
16019	15423	2006-09-21	2006-09-25	-9
16020	15423	2003-06-10	2007-06-11	-9
16020	15423	2007-06-12	2009-05-14	-9
16020	15423	2010-11-02	2011-06-06	-9
16026	15423	2003-06-10	2007-06-11	-9
16026	15423	2007-06-12	2011-06-06	-9
16034	15423	2005-10-11	2006-11-29	-9
16034	15423	2007-03-01	2010-06-16	-9
16034	15423	2010-09-07	2012-09-19	-9
16034	15423	2012-09-20		-9
16039	15423	2007-03-01	2010-06-16	-9
16040	15423	2006-11-30	2010-06-16	-9
16040	15423	2010-10-26	2012-09-19	-9
16043	15423	2006-11-30	2010-06-16	-9
16043	15423	2010-06-17	2012-09-19	-9
16044	15423	2006-11-30	2009-12-10	-9
16046	15423	2006-11-30	2010-06-16	-9
16046	15423	2010-06-17	2012-09-19	-9
16047	15423	2009-03-17	2010-06-16	-9
16048	15423	2007-03-01	2010-06-16	-9
16048	15423	2010-06-17	2012-09-19	-9
16048	15423	2012-09-20	2015-05-19	-9
16049	15423	2006-11-30	2010-06-16	-9
16050	15423	2007-03-01	2010-06-16	-9
16050	15423	2010-06-17	2012-09-19	-9
16050	15423	2012-09-20		-9
16051	15423	2008-04-08	2008-07-28	-9
16051	15423	2008-09-03	2010-06-16	-9
16051	15423	2010-06-17	2011-12-22	-9
16051	15423	2012-04-23	2012-09-19	-9
16052	15423	2006-11-30	2010-06-16	-9
16100	15423	2007-12-18	2010-02-22	-9
16100	15423	2010-02-23	2010-05-17	-9
16113	15423	2007-01-16	2007-06-11	-9
16116	15423	2009-05-19	2011-06-06	-9
16117	15423	2007-06-12	2011-06-06	-9
16117	15423	2011-06-07	2015-06-08	-9
16117	15423	2015-06-09		-9
16120	15423	2007-06-12	2011-06-06	-9
16124	15423	2007-06-12	2011-06-06	-9
16130	15423	2010-06-17	2010-10-13	-9
16130	15423	2010-10-14	2012-11-04	-9
16130	15423	2010-02-23	2010-10-13	-9
16130	15423	2007-02-22	2010-02-22	-9
16142	15423	2015-06-09		-9
16142	15423	2007-06-12	2011-06-06	-9
16142	15423	2011-06-07	2015-06-08	-9
16143	15423	2007-06-12	2011-06-06	-9
16147	15423	2007-06-12	2011-06-06	-9
16148	15423	2009-06-16	2011-06-06	-9
16148	15423	2011-06-07	2015-06-08	-9
16148	15423	2015-06-09		-9
16149	15423	2009-11-03	2011-06-06	-9
16150	15423	2007-06-12	2009-06-08	-9
16188	15423	2010-06-17	2012-09-19	-9
16188	15423	2012-09-20		-9
16189	15423	2011-01-11	2012-09-19	-9
16227	15423	2015-06-09		-9
16227	15423	2010-10-14	2012-11-04	-9
16228	15423	2010-10-14	2012-11-04	-9
16232	15423	2011-06-07	2015-06-08	-9
16232	15423	2015-06-09		-9
16233	15423	2011-06-07	2015-06-08	-9
16258	15423	2012-09-20		-9
16270	15423	2012-09-20		-9
16271	15423	2012-09-20		-9
16272	15423	2012-09-20		-9
16273	15423	2012-09-20	2016-01-03	-9
16274	15423	2012-09-20		-9
